base,shoulder,elbow,wrist1,wrist2,gripper
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90.0,50,180,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90.0,50,180,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90,90,150,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
82.17724387644992,50,180,90,120,50
81.4895506340748,50,180,90,120,50
81.10214614894976,50,180,90,120,50
80.71493311594973,50,180,90,120,50
80.32756422269995,50,180,90,120,50
78.6282883897,50,180,90,120,50
78.38834013369993,50,180,90,120,50
77.94847002169982,50,180,90,120,50
77.03593405307495,50,180,90,120,50
76.25842919212468,50,180,90,120,50
75.72792804332461,50,180,90,120,50
75.30086717142467,50,180,90,120,50
75.03313486599976,50,180,90,120,50
74.56549847287461,50,180,90,120,50
74.09826837464979,50,180,90,120,50
73.63090815247507,50,180,90,120,50
73.11087834507494,50,180,90,120,50
72.43090870507463,50,180,90,120,50
72.00342387524978,50,180,90,120,50
71.52585477622473,50,180,90,120,50
71.15309241587471,50,180,90,120,50
70.62799420962472,50,180,90,120,50
70.20574695932464,50,180,90,120,50
69.78565448682465,50,180,90,120,50
69.36838923727507,50,180,90,120,50
68.90084729784971,50,180,90,120,50
71.58336461429987,50,180,90,120,50
74.46833117374987,50,180,90,120,50
77.71583074067487,50,180,90,120,50
79.55083671362483,50,180,90,120,50
80.16104146432487,50,180,90,120,50
80.21830692512479,50,180,90,120,50
80.32592142014988,50,180,90,120,50
80.48579081494987,50,180,90,120,50
80.8582837932498,50,180,90,120,50
80.98078686554977,50,180,90,120,50
81.10330824424989,50,180,90,120,50
81.22583354907484,50,180,90,120,50
73.05335346064986,50,180,90,120,50
74.14589348324976,50,180,90,120,50
74.30593502104979,50,180,90,120,50
73.74842159372474,50,180,90,120,50
73.5408575986499,50,180,90,120,50
75.64336515587487,50,180,90,120,50
75.54588390707485,50,180,90,120,50
75.44836187109988,50,180,90,120,50
75.35082223149985,50,180,90,120,50
75.25339451799985,50,180,90,120,50
75.15585906699987,50,180,90,120,50
75.05838457104993,50,180,90,120,50
76.69336605879991,50,180,90,120,50
76.52088556944992,50,180,90,120,50
76.55087579384991,50,180,90,120,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
76.55087579384991,23.90175158769982,127.80350317539964,90,120,130
76.55087579384991,23.90175158769982,67.80350317539964,90,120,130
76.55087579384991,0,67.80350317539964,90,120,130
76.55087579384991,0,67.80350317539964,90,120,50
90,120,180,90,120,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
90,120,180,90,120,50
76.55087579384991,23.90175158769982,127.80350317539964,90,120,130
76.55087579384991,23.90175158769982,67.80350317539964,90,120,130
76.55087579384991,0,67.80350317539964,90,120,130
76.55087579384991,0,67.80350317539964,90,120,50
90,120,180,90,120,50
76.55087579384991,23.90175158769982,127.80350317539964,90,150,50
90,120,180,90,120,50
76.55087579384991,23.90175158769982,127.80350317539964,90,120,130
76.55087579384991,23.90175158769982,67.80350317539964,90,120,130
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
90.0,50,180,90,120,50
96.19413411600003,50,180,90,120,50
96.59438905900005,50,180,90,120,50
96.89403052600018,50,180,90,120,50
97.03684334305014,50,180,90,120,50
97.43367044565025,50,180,90,120,50
97.78520745965004,50,180,90,120,50
97.92704386782505,50,180,90,120,50
98.37688123482506,50,180,90,120,50
98.67767342982516,50,180,90,120,50
98.87197592297505,50,180,90,120,50
99.16778840312514,50,180,90,120,50
99.51451198465023,50,180,90,120,50
99.8120903164002,50,180,90,120,50
100.10916838107495,50,180,90,120,50
100.45949282807493,50,180,90,120,50
100.65414939497515,50,180,90,120,50
100.94939790297515,50,180,90,120,50
101.24375153142522,50,180,90,120,50
101.53942229652522,50,180,90,120,50
101.83388786862498,50,180,90,120,50
102.12939069022524,50,180,90,120,50
102.42394487737523,50,180,90,120,50
102.77205658794998,50,180,90,120,50
103.07005353492521,50,180,90,120,50
103.36791169814992,50,180,90,120,50
103.66481174775006,50,180,90,120,50
104.01445265974994,50,180,90,120,50
104.31403240175004,50,180,90,120,50
104.50949364899994,50,180,90,120,50
104.8564829575251,50,180,90,120,50
105.1034645728251,50,180,90,120,50
105.3963897257252,50,180,90,120,50
105.69203885552493,50,180,90,120,50
106.03934011065012,50,180,90,120,50
106.33732521415013,50,180,90,120,50
106.73895585940006,50,180,90,120,50
106.88401894515005,50,180,90,120,50
107.17976450160025,50,180,90,120,50
107.4214431703751,50,180,90,120,50
107.8717953403752,50,180,90,120,50
108.17152081337505,50,180,90,120,50
108.47542472837503,50,180,90,120,50
108.77149778237523,50,180,90,120,50
109.0725549913752,50,180,90,120,50
109.37153120237494,50,180,90,120,50
109.61885124462498,50,180,90,120,50
109.86455462492518,50,180,90,120,50
110.10645013272502,50,180,90,120,50
110.50458757407492,50,180,90,120,50
110.85515014607502,50,180,90,120,50
111.15395762507508,50,180,90,120,50
111.45737746007508,50,180,90,120,50
111.64950694192511,50,180,90,120,50
111.94469126087515,50,180,90,120,50
112.23956914267512,50,180,90,120,50
112.63953573767512,50,180,90,120,50
112.83450835282503,50,180,90,120,50
113.2358860788252,50,180,90,120,50
113.53440709682506,50,180,90,120,50
113.83455664682508,50,180,90,120,50
114.08181580867497,50,180,90,120,50
114.32990362677504,50,180,90,120,50
114.62344929447525,50,180,90,120,50
114.97014229895001,50,180,90,120,50
115.26728581660024,50,180,90,120,50
115.56614633170012,50,180,90,120,50
115.8117938213001,50,180,90,120,50
116.10534549815014,50,180,90,120,50
116.50426520415024,50,180,90,120,50
116.80978020914998,50,180,90,120,50
117.05183940122505,50,180,90,120,50
117.35162381150016,50,180,90,120,50
117.64673981607513,50,180,90,120,50
117.94513311932494,50,180,90,120,50
118.1895760737751,50,180,90,120,50
118.5895235017752,50,180,90,120,50
118.88987339477518,50,180,90,120,50
119.13682330537497,50,180,90,120,50
119.48707480437493,50,180,90,120,50
119.68174273467504,50,180,90,120,50
120.13486960240014,50,180,90,120,50
120.33161803112525,50,180,90,120,50
120.62940059960019,50,180,90,120,50
120.9267939785752,50,180,90,120,50
121.22527934617511,50,180,90,120,50
121.52162056285012,50,180,90,120,50
121.82118850617506,50,180,90,120,50
122.11669149874992,50,180,90,120,50
122.41497411712501,50,180,90,120,50
122.71170463932509,50,180,90,120,50
123.00956004770019,50,180,90,120,50
123.41181174360014,50,180,90,120,50
123.71459794490019,50,180,90,120,50
123.91172658755013,50,180,90,120,50
124.20936458887519,50,180,90,120,50
124.55916222987513,50,180,90,120,50
124.86418009287523,50,180,90,120,50
125.10690362922507,50,180,90,120,50
125.4589659462251,50,180,90,120,50
125.8617734293251,50,180,90,120,50
126.12002923294997,50,180,90,120,50
126.36429096794994,50,180,90,120,50
126.66552451994993,50,180,90,120,50
126.96408154095,50,180,90,120,50
127.26461238795001,50,180,90,120,50
127.56368932694998,50,180,90,120,50
127.86461891595,50,180,90,120,50
128.05910677825014,50,180,90,120,50
128.35485370055,50,180,90,120,50
128.75431626855018,50,180,90,120,50
129.05638303154993,50,180,90,120,50
129.30168613685015,50,180,90,120,50
129.54862295639998,50,180,90,120,50
129.94666456239997,50,180,90,120,50
130,50,180,90,120,50
130,50,180,90,120,50
130,50,180,90,120,50
130,50,180,90,120,50
130,50,180,90,120,50
